Station,Cast,CTD_depth,Temp,Press,SeaPress,Salinity_Corr,O2,O2Sat
77,Surface,2.5,17.82813442,12.64165582,2.509155816,32.74335998,259.5896837,106.635662
78,Bottom,78.3402916,12.83526391,88.90892152,78.77642152,33.44487475,250.6753938,93.60487352
78,Surface,2.5,17.69217707,12.67599785,2.543497849,32.74334341,276.6120416,113.3281053
79,Bottom,54.43810503,15.31024977,64.90475885,54.77225885,32.63558837,268.8239608,105.0466391
79,Surface,2.5,16.81009575,12.63744603,2.504946025,32.59460576,276.9657902,111.4518145
80,Bottom,73.85477341,12.77872559,84.0227452,73.8902452,32.8747,254.071287,94.41786832
80,Surface,2.5,18.22170725,12.59302641,2.460526406,32.88768485,268.8911416,111.3831304
81,Bottom,82.13353419,12.2829219,92.91555671,82.78305671,33.5722,244.3694628,90.2730601
81,Surface,2.5,20.30520453,12.64039444,2.50789444,33.67955309,268.0879936,116.0122458
82,Bottom,72.47624094,13.44456646,82.96568124,72.83318124,32.7764,252.3069954,95.00587258
82,Surface,2.5,17.5852988,12.5806392,2.4481392,32.54811056,280.8257906,114.6816574
83,Bottom,45.13059687,14.70554199,55.6022978,45.4697978,32.71152691,257.6048627,99.49404272
83,Surface,2.5,16.85934627,12.57521489,2.442714887,32.5725132,278.0293174,111.9720065
84,Bottom,65.66502762,12.39875324,76.1552426,66.0227426,32.9406,251.4216669,92.72346731
84,Surface,2.5,17.59101291,12.68404774,2.551547736,32.5281052,282.6047193,115.4068291
85,Bottom,55.23834691,12.34618114,65.74802348,55.61552348,33.1169,251.0274863,92.5802438
85,Surface,2.5,17.38296124,12.65295957,2.520459572,32.6046,274.428186,111.6462904
86,Bottom,78.58824833,12.5449077,89.18241248,79.04991248,33.95082946,241.6871688,89.99135189
86,Surface,2.5,18.29564884,12.70660426,2.574104261,32.7762329,272.7296755,113.0556575
87,Bottom,77.41731884,12.85698678,88.02871933,77.89621933,34.0803,237.5459453,89.12857253
87,Surface,2.5,17.92521751,12.64407431,2.51157431,32.77011759,274.1571209,112.8433639
88,Bottom,70.1811343,12.15255933,80.85069513,70.71819513,33.5315,245.1057702,90.26409009
88,Surface,2.5,17.43399959,12.64108357,2.508583569,32.69500872,276.8777582,112.8415211
89,Bottom,60.45846485,14.44117518,70.94709878,60.81459878,32.75177161,255.0381927,98.00171552
89,Surface,2.5,17.10158163,12.67731482,2.544814816,32.53046863,282.6684688,114.3481508
90,Bottom,58.99553435,16.2785123,69.00564559,58.87314559,32.60863997,266.9659068,106.324811
90,Surface,2.5,16.48273221,12.55502863,2.422528626,32.58960193,267.0608919,106.7774034
91,Bottom,65.18468418,15.69346215,75.79255715,65.66005715,32.65645568,263.2116413,103.6552225
91,Surface,2.5,16.22054728,12.62525506,2.49275506,32.58398026,269.1435661,107.0536775
92,Bottom,56.07606512,14.61481951,66.36643453,56.23393453,32.74587159,251.0908403,96.82124217
92,Surface,2.5,17.20623149,12.57285332,2.440353321,32.52705901,279.8663675,113.4421246
93,Bottom,76.43883726,13.35309278,86.97559348,76.84309348,34.27180196,233.1075787,88.44375262
93,Surface,2.5,18.64426463,12.66367078,2.531170777,33.05761557,272.9330814,114.0841468
94,Bottom,70.78314767,13.23891163,81.19088579,71.05838579,34.07081585,231.9547218,87.68818499
94,Surface,2.5,17.99671311,12.75357672,2.621076719,32.7683904,271.2500114,111.7983007
95,Bottom,59.94804471,13.09365836,70.3419833,60.2094833,33.18916793,245.9516101,92.18645308
95,Surface,2.5,17.45049197,12.67837464,2.545874642,32.51900806,277.3985235,112.9682763
96,Bottom,63.25940016,14.55990882,73.84251452,63.71001452,33.3795,251.0169451,96.71372353
96,Surface,2.5,17.42740504,12.72916293,2.59666293,32.54865681,277.8860899,113.1369239
97,Bottom,61.89688831,15.96662019,72.05196383,61.91946383,32.63517798,261.3538854,103.4685358
97,Surface,2.5,16.47115526,12.86571544,2.733215436,32.5728753,276.8383093,110.6500856
98,Bottom,59.92870079,14.92724184,69.88948594,59.75698594,33.4475,253.0403058,98.19707105
98,Surface,2.5,17.15473438,12.62207333,2.489573327,32.59355227,288.9839222,117.0685312
99,Bottom,61.21019811,15.39209997,71.78227407,61.64977407,32.9921,254.9405822,99.99637296
99,Surface,2.5,17.58619976,12.47521274,2.342712742,32.61457737,281.9936277,115.207347
100,Bottom,46.32335775,16.08329146,56.72642382,46.59392382,32.8138,269.1328394,106.9099862
100,Surface,2.5,16.52273209,12.60261375,2.47011375,32.83502058,278.6758081,111.6769154
101,Bottom,53.550834,15.1362925,63.84206496,53.70956496,33.07730287,251.4942267,98.20229572
101,Surface,2.5,17.73403062,12.56846701,2.435967013,32.65125048,282.4542082,115.7496374
102,Bottom,69.58315629,14.14463583,80.19302812,70.06052812,32.80977945,251.233226,95.99405445
102,Surface,2.5,17.84530771,12.74073694,2.608236935,32.7185466,285.5850096,117.3306604
103,Bottom,73.75558982,13.02304734,84.30955864,74.17705864,33.4316,246.1059765,92.24993315
103,Surface,2.5,18.54830762,12.67651065,2.544010651,33.05236003,267.9671528,111.8018415
104,Bottom,NA,NA,NA,NA,33.2303,NA,NA
104,Surface,2.5,NA,NA,NA,32.7606,NA,NA
105,Bottom,55.5416847,15.79552873,65.95378001,55.82128001,33.3271,250.2890244,99.16059836
105,Surface,2.5,19.80164346,12.69333299,2.560832986,33.57,270.7810697,115.932972
106,Bottom,62.34769015,15.02232945,72.82921985,62.69671985,33.2922,246.7672601,96.25647051
106,Surface,2.5,19.90327694,12.61262896,2.480128962,33.6778,268.8533472,115.3675092
107,Bottom,50.11464197,16.19790242,60.61855183,50.48605183,33.0406,264.5840884,105.3244975
107,Surface,2.5,17.82278027,12.61624604,2.483746041,33.06984569,268.9105066,110.6687966
108,Bottom,64.90846246,15.20019871,75.0543218,64.9218218,33.34547487,247.1001983,96.7710663
108,Surface,2.5,18.98071978,12.63825882,2.505758824,33.1312802,269.3007433,113.331793
109,Bottom,56.01322544,12.98598534,66.15907134,56.02657134,33.019,248.6665796,92.95485014
109,Surface,2.5,19.31311536,12.68402312,2.551523123,33.22735031,265.6680925,112.5663523
110,Bottom,64.730486,12.74844332,75.06015235,64.92765235,33.19643091,243.3140485,90.54935917
110,Surface,2.5,18.68485713,12.7037716,2.571271604,33.01093611,275.6897626,115.2921654
111,Bottom,56.37717034,16.71482881,66.79370587,56.66120587,33.18037962,256.3848824,103.3494572
111,Surface,2.5,19.65174754,12.6330749,2.500574902,33.55547282,264.8676446,113.1600284
112,Bottom,60.26479212,13.82601408,70.82198066,60.68948066,33.28009798,243.9362696,92.87458802
112,Surface,2.5,19.01151205,12.69984746,2.567347457,33.04400392,275.7121642,116.0360228
113,Bottom,52.08276505,16.00813889,62.62498281,52.49248281,33.40995127,245.8332059,97.87073467
113,Surface,2.5,20.12419697,12.63678598,2.504285981,33.9955,256.9558714,110.8493099
114,Bottom,44.99443776,17.11797827,55.21898185,45.08648185,33.18073385,261.1323616,106.0911074
114,Surface,2.5,18.62032334,12.63428322,2.501783217,33.53258341,260.549311,109.1718749
