Station,Cast,BottleID,Date,Latitude_degrees_start,Longitude_degrees_start,Latitude_degrees_end,Longitude_degrees_end,Depth_fathoms,Depth_meters,Time_CTD_on,Time_in,Time_bottom,Time_ascent,Time_out,Salinity_bottle,Preservation,Pres_vol_ug,Bottle_CTD_notes,Tow_start_time,Tow_end_time,Tow_latitude_start,Tow_longitude_start,Tow_latitude_end,Tow_longitude_end,Tow_abundance,Scallop_samples,Tow_notes,Depth_m_CTD,Temp,Temp_FLAG,Pressure,Press_FLAG,SeaPressure,SeaPress_FLAG,Salinity,Salinity_FLAG,DIC,DIC_FLAG,TA,TA_FLAG,DIC.TA.Ratio,Dissolved_oxygen,DO_sat
48,Bottom,RSA_341,20211007,41°00.01',66°47.98',41°00.07',66°47.97',41.3,75.5,15:37,15:37,15:39,15:42,15:43,,Mercuric,100,uncertain about bottle numbers; sunny & calm,NA,NA,NA,NA,NA,NA,NA,NA,,76.00704384,11.57047681,NA,86.06676147,NA,75.93426147,NA,33.7645,NA,2122.3,NA,2266.6,NA,0.936336363,243.6119343,88.75751819
50,Bottom,RSA_342,20211007,41°05.94',66°53.93',41°06.03',66°53.84',37.5,68.6,16:35,16:35,16:36,16:38,16:39,,Mercuric,100,,16:45,17:00,41°06.42',66°54.34',41°07.07',66°55.42',149,50,drag caught in gear; may have lost some scallops,58.58071318,12.19024163,NA,68.97878694,NA,58.84628694,NA,33.0334,NA,2085.4,NA,2225.5,NA,0.937047854,255.6923071,93.95113111
51,Bottom,RSA_344,20211007,41°11.94',66°59.95',41°11.93',66°59.91',35.9,65.7,17:57,17:57,17:58,18:00,18:01,,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,65.54029914,13.85507821,NA,76.04914176,NA,65.91664176,NA,32.7559,NA,2067,NA,2213.6,NA,0.933773039,258.6996142,98.23052673
56,Bottom,RSA_346,20211007,41°11.99',67°11.93',41°11.98',67°11.93',31.5,57.6,19:07,19:07,19:08,19:10,19:11,,Mercuric,100,,19:18,19:33,41°11.04',67°11.02',41°10.43',67°10.36',2,2,squid,52.37119209,15.30436233,NA,62.82189872,NA,52.68939872,NA,32.6047,NA,2038.8,NA,2205.2,NA,0.924541992,261.9277071,102.3201791
55,Bottom,RSA_348,20211007,41°06.01',67°06.01',41°05.72',67°05.87',34.2,62.5,20:08,20:08,20:09,20:10,20:12,,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,47.05416868,13.47176885,NA,56.96876658,NA,46.83626658,NA,32.7965,NA,2058.3,NA,2217.3,NA,0.928291165,261.6790607,98.60708806
52,Bottom,RSA_350,20211007,40°59.97',67°00.00',40°59.83',66°59.95',37.8,69.1,20:57,20:57,20:58,21:00,21:02,,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,64.53072822,12.33162495,NA,75.04577476,NA,64.91327476,NA,32.9306,NA,2083.5,NA,2225,NA,0.936404494,260.1066336,95.79557299
49,Bottom,RSA_352,20211007,40°53.90',66°53.92',40°53.75',66°53.88',48.4,88.5,21:47,21:48,21:49,21:51,21:52,D17,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,58.3864553,11.84274789,NA,68.89804811,NA,58.76554811,NA,33.1706,NA,2099,NA,2234.8,NA,0.939233936,256.2960882,93.60392177
53,Bottom,RSA_356,20211007,40°48.01',67°00.04',40°47.98',67°00.16',52.4,95.8,22:35,22:36,22:37,22:39,22:41,,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,98.11883984,15.41110779,NA,108.4202063,NA,98.28770627,NA,35.6009,NA,2154.9,NA,2355,NA,0.915031847,211.9610723,84.53375322
54,Bottom,RSA_359,20211007,40°53.77',67°05.95',40°53.93',67°06.17',46.1,84.3,23:27,23:27,23:29,23:30,23:32,,Mercuric,100,,23:39,23:54,40°54.15',67°06.42',40°55.12',67°07.35',6398,50,,86.0126144,11.47453878,NA,96.27260252,NA,86.14010252,NA,33.3315,NA,2106.4,NA,2246,NA,0.937845058,253.0362763,91.74877133
61,Bottom,RSA_361,20211008,41°06.00',67°17.98',41°06.08',67°18.06',32.7,59.8,1:28,1:28,1:30,1:31,1:32,,Mercuric,100,,1:38,1:53,41°06.01',67°19.37',41°05.66',67°20.04',2,2,chance that scallops were stuck in drag from previous site,57.31368245,14.84795192,NA,67.78260724,NA,57.65010724,NA,32.6331,NA,2048.7,NA,2205.6,NA,0.928862895,255.7110247,98.99832387
