,Accession,EXPOCODE,Cruise_ID,Observation_type,Station_ID,Cast_number,Niskin_ID,Sample_ID,Date,Latitude,Longitude,Season,Pressure,Depth,Temperature,Salinity,Oxygen,Oxygen_flag,DIC,TALK,TALK_flag,pCO2_atm,ADT,SLA,SST,SST_hires,Chl,KD490
3834,,,AR18-C,,PMCO,2.0,1.0,,2017-06-16,40.0984,-70.8833,summer,143.147144,142.0,11.8946,35.3668,187.8824483,2.0,2170.972923,2332.947839,2,406.76,-0.13400128734175407,0.01416054757847461,15.118182046012665,14.855788410853991,0.3728703519326164,0.057374744819791594
3835,,,AR18-C,,PMCO,2.0,3.0,,2017-06-16,40.0984,-70.8833,summer,67.52888015,67.0,7.9161,33.509,260.6672744,2.0,2107.340325,2254.173996,2,406.76,-0.13400128734175407,0.01416054757847461,15.118182046012665,14.855788410853991,0.3728703519326164,0.057374744819791594
3836,,,AR18-C,,PMCO,2.0,4.0,,2017-06-16,40.0984,-70.8833,summer,67.52888015,67.0,7.9088,33.5055,260.7112266,2.0,2106.760472,2247.524211,2,406.76,-0.13400128734175407,0.01416054757847461,15.118182046012665,14.855788410853991,0.3728703519326164,0.057374744819791594
3837,,,AR18-C,,PMCO,2.0,5.0,,2017-06-16,40.0984,-70.8833,summer,22.17122189,22.0,8.376,33.3086,281.1854815,2.0,2091.06119,2254.507673,2,406.76,-0.13400128734175407,0.01416054757847461,15.118182046012665,14.855788410853991,0.3728703519326164,0.057374744819791594
3838,,,AR18-C,,PMCO,2.0,7.0,,2017-06-16,40.0984,-70.8833,summer,6.651115953,6.6,11.9397,32.6591,297.657707,2.0,2016.600517,2211.929117,2,406.76,-0.13400128734175407,0.01416054757847461,15.118182046012665,14.855788410853991,0.3728703519326164,0.057374744819791594
3839,,,AR18-C,,PMCI,3.0,1.0,,2017-06-16,40.22656667,-70.88261667,summer,121.972661,121.0,11.5436,35.3035,179.3986396,2.0,2170.158054,2319.822566,2,406.76,-0.11525048687189539,0.015914228986537184,14.646983984665304,14.308644513630261,0.4015471267604494,0.05946450783313588
3840,,,AR18-C,,PMCI,3.0,2.0,,2017-06-16,40.22656667,-70.88261667,summer,121.972661,121.0,11.5783,35.3139,177.223838,2.0,2177.724392,2322.728942,2,406.76,-0.11525048687189539,0.015914228986537184,14.646983984665304,14.308644513630261,0.4015471267604494,0.05946450783313588
3841,,,AR18-C,,PMCI,3.0,3.0,,2017-06-16,40.22656667,-70.88261667,summer,53.41716206,53.0,7.6718,33.2041,271.0365038,2.0,2091.410221,2239.950999,2,406.76,-0.11525048687189539,0.015914228986537184,14.646983984665304,14.308644513630261,0.4015471267604494,0.05946450783313588
3842,,,AR18-C,,PMCI,3.0,5.0,,2017-06-16,40.22656667,-70.88261667,summer,23.17933165,23.0,7.8108,32.6988,294.3591793,2.0,2060.35891,2224.83525,2,406.76,-0.11525048687189539,0.015914228986537184,14.646983984665304,14.308644513630261,0.4015471267604494,0.05946450783313588
3843,,,AR18-C,,PMCI,3.0,7.0,,2017-06-16,40.22656667,-70.88261667,summer,7.054303035,7.0,13.4646,32.2153,286.5486691,2.0,1991.889005,2196.35678,2,406.76,-0.11525048687189539,0.015914228986537184,14.646983984665304,14.308644513630261,0.4015471267604494,0.05946450783313588
