Station,Cast,BottleID,Date,Latitude_degrees_start,Longitude_degrees_start,Latitude_degrees_end,Longitude_degrees_end,Depth_fathoms,Depth_meters,Time_CTD_on,Time_in,Time_bottom,Time_ascent,Time_out,Salinity_bottle,Preservation,Pres_vol_ug,Bottle_CTD_notes,Tow_start_time,Tow_end_time,Tow_latitude_start,Tow_longitude_start,Tow_latitude_end,Tow_longitude_end,Tow_abundance,Scallop_samples,Tow_notes,Depth_m_CTD,Temp,Temp_FLAG,Pressure,Press_FLAG,SeaPressure,SeaPress_FLAG,Salinity,Salinity_FLAG,DIC,DIC_FLAG,TA,TA_FLAG,Dissolved_oxygen
68,Surface,RSA_068B,20210504,41°00.07',67°35.65',41°00.10',67°38.70',35,64,NA,17:26,NA,NA,NA,NA,Mercuric,100,Light rain,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,7.492635498,2,12.7189188,2,2.586419106,2,32.5055,2,2060.1,2,2206,NA,303.59945
69,Surface,RSA_069B,20210505,40°47.44',67°35.50',40°47.42',67°35.51',41.6,76.1,NA,1:55,NA,NA,NA,NA,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,7.959368025,2,12.72059236,2,2.588092668,2,32.4249,2,2047.7,2,2211.1,NA,308.5102561
70,Surface,RSA_070B,20210505,40°47.51',67°42.15',40°47.31',67°42.18',37.7,68.9,NA,2:32,NA,NA,NA,NA,Mercuric,100,,2:32,2:51,40°47.51,67°42.15,40°47.28,67°42.18,325,50,,2.5,7.689307405,2,12.62750864,2,2.495008945,2,32.5294,2,2058.8,2,2212.5,NA,303.209
71,Surface,RSA_071B,20210505,40°41.94',67°42.07',40°41.90',67°42.06',41.6,76.1,NA,3:21,NA,NA,NA,NA,Mercuric,100,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,7.951394043,2,12.72940426,2,2.596904564,2,32.3023,2,2038.2,NA,2205.7,NA,312.6345422
72,Surface,RSA_072B,20210505,40°35.97',67°47.50',40°35.93',67°47.52',46.6,85.2,NA,4:50,NA,NA,NA,NA,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,8.193803188,2,12.60595403,2,2.473454339,2,32.2976,2,2034.4,NA,2206.1,NA,309.8289762
73,Surface,RSA_073B,20210505,40°47.67',67°47.74',40°47.71',67°47.79',36.8,67.3,NA,8:17,NA,NA,NA,NA,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,7.466583506,2,12.70990729,2,2.577407598,2,32.4973,2,2048,NA,2207.8,NA,308.092166
74,Surface,RSA_074B,20210505,40°53.71',67°54.20',40°53.77',67°54.29',32.6,59.6,NA,9:08,NA,NA,NA,NA,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,7.866987828,2,12.6366103,2,2.504110609,2,32.7311,2,2060,NA,2215.1,NA,300.6695592
75,Surface,RSA_075B,20210505,40°47.46',68°00.01',40°47.28',68°00.02',37.5,68.6,NA,11:07,NA,NA,NA,NA,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,7.678759003,2,12.692632679999999,2,2.56013298,2,32.7078,2,2062.5,NA,2214.9,NA,298.9276706
76,Surface,RSA_076B,20210505,40°35.90',67°54.03',40°35.87',67°54.05',47.9,87.6,NA,5:26,NA,NA,NA,NA,Benzalkonium and mercuric,250,,5:39,5:54,40°35.89,67°54.85,40°36.01,67°56.48,79,50,,2.5,8.107416725,2,12.77239388,2,2.639894187,2,32.3287,2,2032.1,NA,2201.3,NA,313.8122429
77,Surface,RSA_077B,20210505,40°36.08',68°00.05',40°36.07',68°00.10',50,91.4,NA,6:21,NA,NA,NA,NA,Benzalkonium and mercuric,250,,NA,NA,NA,NA,NA,NA,NA,NA,,2.5,8.084526367,2,12.64858646,2,2.516086769,2,32.2979,2,2028.8,NA,2204.1,NA,311.8405152
